AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Premis Desc,Weapon Desc,Status Desc,LOCATION,Cross Street,Month
Central,BATTERY - SIMPLE ASSAULT,27.0,M,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,5TH                          ST,MAIN                         ST,01
Central,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,,STREET,,Invest Cont,VENICE,GRAND,01
Central,BATTERY - SIMPLE ASSAULT,36.0,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,500    SAN JULIAN                   ST,,01
Central,ATTEMPTED ROBBERY,20.0,F,PARK/PLAYGROUND,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,9TH                          ST,HOPE                         ST,01
Central,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,,STREET,,Invest Cont,900    CENTENNIAL                   ST,,01
Central,INTIMATE PARTNER - SIMPLE ASSAULT,31.0,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Adult Arrest,100 E  9TH                          ST,,01
Central,THEFT PLAIN - PETTY ($950 & UNDER),58.0,F,LIBRARY,,Invest Cont,600 W  5TH                          ST,,01
Central,ROBBERY,52.0,F,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,HEWITT                       ST,3RD                          ST,01
Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",26.0,M,"VEHICLE, PASSENGER/TRUCK",,Adult Other,1100 S  LOS ANGELES                  ST,,01
Central,BURGLARY FROM VEHICLE,23.0,F,STREET,,Invest Cont,400 N  FIGUEROA                     ST,,01
Central,BATTERY - SIMPLE ASSAULT,32.0,M,HOTEL,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,200 W  6TH                          ST,,01
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",38.0,M,SIDEWALK,OTHER CUTTING INSTRUMENT,Adult Other,5TH,BROADWAY,01
Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",21.0,F,LIBRARY,,Invest Cont,600 W  5TH                          ST,,01
Central,BATTERY - SIMPLE ASSAULT,24.0,F,NIGHT CLUB (OPEN EVENINGS ONLY),UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,700 E  3RD                          ST,,01
Central,DOCUMENT FORGERY / STOLEN FELONY,54.0,M,OTHER BUSINESS,,Invest Cont,100 W  9TH                          ST,,01
Central,BATTERY - SIMPLE ASSAULT,37.0,M,PARKING LOT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,500 S  HILL                         ST,,01
Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",29.0,F,"VEHICLE, PASSENGER/TRUCK",,Invest Cont,1400 N  MAGDALANA                    ST,,01
Central,BATTERY WITH SEXUAL CONTACT,33.0,F,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,6TH,MAPLE,01
Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",45.0,F,PARKING LOT,,Invest Cont,1000 N  MAIN                         ST,,01
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",31.0,M,SIDEWALK,RAZOR BLADE,Adult Other,5TH,BROADWAY,01
Central,"THEFT, PERSON",24.0,F,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,7TH,HOPE,01
Central,"THEFT, PERSON",48.0,F,STAPLES CENTER *,,Invest Cont,1800 S  FIGUEROA                     ST,,01
Central,BURGLARY FROM VEHICLE,25.0,M,STREET,,Invest Cont,TRACTION,MERRICK,01
Central,THEFT PLAIN - PETTY ($950 & UNDER),34.0,M,OTHER BUSINESS,,Invest Cont,600    MAPLE                        AV,,01
Central,THEFT PLAIN - PETTY ($950 & UNDER),23.0,M,OTHER BUSINESS,,Adult Arrest,700 W  7TH                          ST,,01
Central,OTHER MISCELLANEOUS CRIME,26.0,M,SIDEWALK,,Invest Cont,LOS ANGELES                  ST,5TH                          ST,01
Central,BATTERY WITH SEXUAL CONTACT,39.0,F,OFFICE BUILDING/OFFICE,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,200 N  FIGUEROA                     ST,,01
Central,BATTERY - SIMPLE ASSAULT,53.0,M,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,700 W  7TH                          ST,,01
Central,TRESPASSING,31.0,M,OTHER PREMISE,,Invest Cont,1100 S  FIGUEROA                     ST,,01
Central,INTIMATE PARTNER - SIMPLE ASSAULT,,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,200 S  SAN PEDRO                    ST,,01
Central,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,,STREET,,Invest Cont,400    CASANOVA                     ST,,01
Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",60.0,M,OTHER BUSINESS,,Invest Cont,6TH                          ST,HILL                         ST,01
Southwest,VEHICLE - STOLEN,26.0,M,STREET,,Adult Other,1500 W  MARTIN LUTHER KING JR        BL,,02
Central,VEHICLE - STOLEN,,,STREET,,Invest Cont,300    BLOOM                        ST,,01
Central,OTHER MISCELLANEOUS CRIME,,M,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,Invest Cont,200 W  TEMPLE                       ST,,01
Central,BURGLARY,62.0,M,OTHER PREMISE,,Invest Cont,1000 S  BROADWAY,,01
Central,BATTERY - SIMPLE ASSAULT,36.0,M,STREET,FOLDING KNIFE,Invest Cont,1100    MAPLE                        AV,,01
Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),33.0,F,STREET,FOLDING KNIFE,Invest Cont,1100    MAPLE                        AV,,01
Central,DOCUMENT FORGERY / STOLEN FELONY,55.0,F,OTHER BUSINESS,,Invest Cont,600 S  BROADWAY,,01
Central,THEFT PLAIN - PETTY ($950 & UNDER),40.0,M,OTHER BUSINESS,,Invest Cont,800 S  GRAND                        AV,,01
Central,THEFT OF IDENTITY,31.0,M,OTHER BUSINESS,,Invest Cont,1600 S  BROADWAY,,01
Central,BURGLARY FROM VEHICLE,24.0,M,PARKING LOT,,Invest Cont,1200 S  FIGUEROA                     ST,,01
Central,THREATENING PHONE CALLS/LETTERS,23.0,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Adult Other,1800 S  MAIN                         ST,,02
Central,BATTERY - SIMPLE ASSAULT,42.0,M,OTHER PREMISE,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1100 S  LOS ANGELES                  ST,,01
Central,BATTERY - SIMPLE ASSAULT,48.0,M,OTHER PREMISE,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,1100 S  LOS ANGELES                  ST,,01
Central,TRESPASSING,30.0,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1800 S  MAIN                         ST,,01
Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,19.0,M,OTHER RESIDENCE,VERBAL THREAT,Invest Cont,600 S  SAN PEDRO                    ST,,01
Central,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",22.0,F,MOTEL,,Invest Cont,1300 W  SUNSET                       BL,,01
Central,THEFT OF IDENTITY,38.0,F,SINGLE FAMILY DWELLING,,Invest Cont,700 S  LOS ANGELES                  ST,,01
Central,BURGLARY FROM VEHICLE,19.0,M,STREET,,Invest Cont,SANTA FE                     AV,4TH                          ST,01
Central,BURGLARY FROM VEHICLE,24.0,M,GARAGE/CARPORT,,Invest Cont,400    MOLINO                       ST,,01
Central,THEFT PLAIN - PETTY ($950 & UNDER),47.0,F,OTHER BUSINESS,,Invest Cont,300 E  2ND                          ST,,01
Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,36.0,M,OTHER BUSINESS,,Invest Cont,400 S  FIGUEROA                     ST,,01
Central,OTHER MISCELLANEOUS CRIME,,M,OTHER BUSINESS,,Invest Cont,700 E  COMMERCIAL                   ST,,01
Central,BATTERY WITH SEXUAL CONTACT,14.0,F,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,700 W  CESAR E CHAVEZ               AV,,01
Central,BURGLARY,50.0,M,JEWELRY STORE,,Invest Cont,300 E  11TH                         ST,,01
Central,THEFT PLAIN - PETTY ($950 & UNDER),41.0,M,SIDEWALK,,Invest Cont,500 S  MAIN                         ST,,01
Central,"THEFT, PERSON",38.0,M,OTHER PREMISE,,Invest Cont,600 S  SAN PEDRO                    ST,,01
Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),23.0,F,"VEHICLE, PASSENGER/TRUCK",,Invest Cont,4TH,ALAMEDA,01
Central,BRANDISH WEAPON,58.0,F,OTHER BUSINESS,HAND GUN,Invest Cont,1500 S  FLOWER                       ST,,01
Central,THEFT PLAIN - PETTY ($950 & UNDER),25.0,M,OTHER BUSINESS,,Invest Cont,900    SANTEE                       ST,,01
Central,"THEFT, PERSON",62.0,F,PARKING LOT,,Adult Arrest,6TH,MAIN,01
Central,BATTERY - SIMPLE ASSAULT,23.0,M,BAR/COCKTAIL/NIGHTCLUB,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,500 W  7TH                          ST,,01
Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",50.0,M,SIDEWALK,,Invest Cont,7TH                          ST,GRAND,01
Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),23.0,F,CONDOMINIUM/TOWNHOUSE,,Invest Cont,1000    FIGUEROA                     TR,,01
Central,"RAPE, FORCIBLE",19.0,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,1300 S  FLOWER                       ST,,01
Central,THEFT PLAIN - PETTY ($950 & UNDER),36.0,M,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,Invest Cont,200 N  MAIN                         ST,,01
Central,BATTERY - SIMPLE ASSAULT,64.0,M,OTHER BUSINESS,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,600 S  HILL                         ST,,01
Central,OTHER MISCELLANEOUS CRIME,43.0,M,STREET,,Invest Cont,300 S  FIGUEROA                     ST,,01
Central,OTHER MISCELLANEOUS CRIME,43.0,M,STREET,,Invest Cont,100 E  5TH                          ST,,01
Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",35.0,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Invest Cont,1000 S  FLOWER                       ST,,01
Central,BATTERY - SIMPLE ASSAULT,30.0,F,OTHER RESIDENCE,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,500 S  SAN PEDRO                    ST,,01
Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),18.0,F,OTHER BUSINESS,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,SANTA FE,6TH                          ST,01
Central,VIOLATION OF RESTRAINING ORDER,,F,LIBRARY,,Invest Cont,600 W  5TH                          ST,,01
Central,BURGLARY FROM VEHICLE,26.0,M,STREET,,Invest Cont,800 E  1ST                          ST,,01
Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),34.0,F,"VEHICLE, PASSENGER/TRUCK",,Invest Cont,500 W  6TH                          ST,,01
Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",34.0,M,"VEHICLE, PASSENGER/TRUCK","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,HOPE,VENICE,01
Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",56.0,M,OTHER BUSINESS,,Adult Arrest,1700    MAPLE                        AV,,01
Central,BURGLARY FROM VEHICLE,43.0,M,STREET,,Invest Cont,DIAMOND,FIGUEROA,01
Central,BURGLARY FROM VEHICLE,22.0,F,PARKING LOT,,Invest Cont,7TH,HILL,01
Central,BATTERY - SIMPLE ASSAULT,63.0,F,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,HILL,TEMPLE,01
Central,BATTERY - SIMPLE ASSAULT,42.0,M,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,HILL,TEMPLE,01
Central,BATTERY - SIMPLE ASSAULT,44.0,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,600    WALL                         ST,,01
Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",24.0,M,OTHER RESIDENCE,,Invest Cont,1800 S  MAIN                         ST,,01
Central,OTHER MISCELLANEOUS CRIME,41.0,M,SIDEWALK,,Invest Cont,1100 S  LOS ANGELES                  ST,,01
Central,ATTEMPTED ROBBERY,30.0,M,SIDEWALK,HAND GUN,Adult Other,6TH,STANFORD,01
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",33.0,M,SIDEWALK,OTHER KNIFE,Adult Other,6TH,STANFORD,01
Central,BATTERY - SIMPLE ASSAULT,49.0,F,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,6TH,WALL,01
Central,INTIMATE PARTNER - AGGRAVATED ASSAULT,42.0,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,700 S  OLIVE                        ST,,01
Central,BATTERY - SIMPLE ASSAULT,29.0,M,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,6TH,SPRING                       ST,01
Central,THEFT PLAIN - PETTY ($950 & UNDER),,M,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,Invest Cont,600 N  ALAMEDA                      ST,,01
Central,BATTERY - SIMPLE ASSAULT,21.0,M,POLICE FACILITY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,100 N  LOS ANGELES                  ST,,01
Central,BURGLARY FROM VEHICLE,21.0,F,PARKING LOT,,Invest Cont,500 N  FIGUEROA                     ST,,01
Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),25.0,M,"VEHICLE, PASSENGER/TRUCK",,Invest Cont,7TH                          ST,SAN PEDRO                    ST,01
Central,INTIMATE PARTNER - SIMPLE ASSAULT,52.0,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,500 S  MAIN                         ST,,01
Central,BATTERY - SIMPLE ASSAULT,55.0,M,PARK/PLAYGROUND,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,6TH,OLIVE,01
Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",36.0,F,OTHER PREMISE,,Invest Cont,1100    CHERRY                       ST,,01
Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",40.0,F,PARKING LOT,,Invest Cont,12TH                         ST,FIGUEROA                     ST,01
Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,69.0,M,SINGLE FAMILY DWELLING,VERBAL THREAT,Adult Other,300    BLOOM                        ST,,01
Central,BATTERY - SIMPLE ASSAULT,40.0,M,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,700 S  FIGUEROA                     ST,,02
Central,KIDNAPPING - GRAND ATTEMPT,24.0,F,STREET,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,TEMPLE                       ST,FIGUEROA                     ST,01
Central,ROBBERY,59.0,M,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,5TH                          ST,WALL                         ST,01
Central,VEHICLE - STOLEN,,,STREET,,Invest Cont,LLEWELLYN,N  SPRING,02
Central,ROBBERY,33.0,M,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,7TH                          ST,HOPE                         ST,01
Central,BURGLARY FROM VEHICLE,25.0,M,PARKING LOT,,Invest Cont,1200 S  FIGUEROA                     ST,,01
Central,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),24.0,F,PARKING LOT,,Invest Cont,300 S  FIGUEROA                     ST,,02
Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",19.0,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Invest Cont,600 S  FLOWER                       ST,,01
Central,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",49.0,F,OTHER BUSINESS,,Adult Other,500 S  FLOWER                       ST,,02
Central,VEHICLE - STOLEN,,,STREET,,Invest Cont,800    ALPINE                       ST,,02
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",41.0,M,SIDEWALK,DIRK/DAGGER,Invest Cont,6TH,SAN PEDRO,02
Central,ROBBERY,32.0,F,OTHER STORE,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,200 E  11TH                         ST,,02
Central,BURGLARY FROM VEHICLE,23.0,F,PARKING LOT,,Invest Cont,500 N  FIGUEROA                     ST,,01
Central,OTHER MISCELLANEOUS CRIME,26.0,M,STREET,,Adult Other,5TH                          ST,SAN JULIAN                   ST,02
Central,THEFT PLAIN - PETTY ($950 & UNDER),33.0,F,RESTAURANT/FAST FOOD,,Invest Cont,900 N  VIGNES                       ST,,02
Central,THEFT PLAIN - PETTY ($950 & UNDER),37.0,M,OTHER BUSINESS,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,300 E  5TH                          ST,,02
Central,DOCUMENT FORGERY / STOLEN FELONY,49.0,F,OTHER BUSINESS,,Invest Cont,800 S  BROADWAY,,02
Central,VIOLATION OF COURT ORDER,34.0,M,OFFICE BUILDING/OFFICE,,Adult Other,100 E  9TH                          ST,,02
Central,VEHICLE - STOLEN,,,STREET,,Invest Cont,CESAR E CHAVEZ,HILL                         PL,02
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",39.0,F,PARKING LOT,OTHER CUTTING INSTRUMENT,Invest Cont,300 E  5TH                          ST,,02
Central,BURGLARY FROM VEHICLE,30.0,M,STREET,,Invest Cont,MOLINO                       ST,PALMETTO                     ST,02
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",35.0,M,STREET,UNKNOWN WEAPON/OTHER WEAPON,Adult Other,4TH                          ST,SPRING                       ST,02
Central,VEHICLE - STOLEN,,,STREET,,Invest Cont,900    AVILA                        ST,,02
Central,BURGLARY FROM VEHICLE,25.0,M,PARKING LOT,,Adult Arrest,900 N  BROADWAY,,02
Central,TRESPASSING,30.0,M,OTHER RESIDENCE,,Invest Cont,700 E  6TH                          ST,,02
Central,VIOLATION OF COURT ORDER,,M,OTHER RESIDENCE,,Invest Cont,500 S  SAN PEDRO                    ST,,02
Central,THEFT PLAIN - PETTY ($950 & UNDER),29.0,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Invest Cont,200 S  SAN PEDRO                    ST,,02
Central,BATTERY - SIMPLE ASSAULT,19.0,M,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,6TH                          ST,GLADYS                       ST,02
Central,BURGLARY FROM VEHICLE,31.0,F,PARKING LOT,,Invest Cont,300 S  GRAND                        AV,,02
Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,M,OTHER BUSINESS,,Invest Cont,800 E  4TH                          ST,,02
Central,BATTERY - SIMPLE ASSAULT,39.0,F,HOTEL,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,300 E  5TH                          ST,,02
Central,OTHER MISCELLANEOUS CRIME,,M,OTHER BUSINESS,,Adult Arrest,300 E  12TH                         ST,,02
Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",60.0,M,"VEHICLE, PASSENGER/TRUCK",,Adult Arrest,STANFORD,7TH,02
Central,INTIMATE PARTNER - AGGRAVATED ASSAULT,25.0,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",KNIFE WITH BLADE 6INCHES OR LESS,Adult Arrest,1500 S  HOPE                         ST,,02
Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",30.0,M,OTHER BUSINESS,,Invest Cont,11TH                         ST,GRAND                        AV,02
Central,BATTERY - SIMPLE ASSAULT,23.0,F,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,CESAR E CHAVEZ,ALAMEDA,02
Central,THEFT PLAIN - PETTY ($950 & UNDER),27.0,M,MARKET,,Invest Cont,600 W  9TH                          ST,,02
Central,INTIMATE PARTNER - SIMPLE ASSAULT,,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,1100 S  GRAND                        AV,,02
Central,DOCUMENT FORGERY / STOLEN FELONY,47.0,F,SINGLE FAMILY DWELLING,,Invest Cont,900 E  3RD                          ST,,02
Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,58.0,F,OTHER BUSINESS,,Invest Cont,200 N  FIGUEROA                     ST,,02
Central,ROBBERY,20.0,F,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,LOS ANGELES                  ST,8TH                          ST,02
Central,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,22.0,M,ALLEY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,6TH                          ST,KOHLER                       ST,02
Central,THEFT PLAIN - PETTY ($950 & UNDER),25.0,M,RESTAURANT/FAST FOOD,,Invest Cont,BROADWAY,VENICE,02
Central,"THEFT, PERSON",63.0,M,STREET,,Invest Cont,100 W  7TH                          ST,,02
Central,VIOLATION OF COURT ORDER,48.0,F,RESTAURANT/FAST FOOD,,Invest Cont,6TH,CROCKER,02
Central,OTHER MISCELLANEOUS CRIME,25.0,M,STREET,,Invest Cont,1000    SANTEE                       ST,,02
Central,THEFT PLAIN - PETTY ($950 & UNDER),19.0,F,OTHER BUSINESS,,Invest Cont,LOS ANGELES                  ST,1ST                          ST,02
Central,BATTERY - SIMPLE ASSAULT,22.0,F,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,17TH                         ST,GRAND                        AV,02
Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,31.0,M,HOSPITAL,,Adult Arrest,1300 S  HOPE                         ST,,02
Central,THEFT PLAIN - PETTY ($950 & UNDER),29.0,M,STREET,,Invest Cont,300 E  3RD                          ST,,02
Central,BATTERY - SIMPLE ASSAULT,50.0,F,OTHER RESIDENCE,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,500 S  SAN PEDRO                    ST,,02
Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",26.0,M,"VEHICLE, PASSENGER/TRUCK",,Invest Cont,700    MAPLE                        AV,,02
Central,BATTERY - SIMPLE ASSAULT,44.0,F,OTHER BUSINESS,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,600    WALL                         ST,,02
Central,THEFT PLAIN - PETTY ($950 & UNDER),99.0,M,DEPARTMENT STORE,,Invest Cont,700 W  7TH                          ST,,02
Central,THEFT PLAIN - PETTY ($950 & UNDER),,M,OTHER BUSINESS,,Adult Arrest,500 S  BROADWAY,,02
Central,BURGLARY FROM VEHICLE,36.0,M,STREET,,Invest Cont,300 N  VIGNES                       ST,,02
Central,THEFT PLAIN - PETTY ($950 & UNDER),22.0,F,OTHER PREMISE,,Invest Cont,1000 S  FIGUEROA                     ST,,02
Central,VIOLATION OF RESTRAINING ORDER,56.0,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Invest Cont,600 E  5TH                          ST,,02
Central,BATTERY - SIMPLE ASSAULT,41.0,F,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,6TH,SAN JULIAN,02
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",52.0,M,"BUS DEPOT/TERMINAL, OTHER THAN MTA",UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,800 N  ALAMEDA                      ST,,02
Central,BATTERY WITH SEXUAL CONTACT,49.0,F,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,MAIN                         ST,4TH                          ST,02
Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,57.0,F,OTHER PREMISE,,Invest Cont,600    SAN JULIAN                   ST,,02
Central,BATTERY - SIMPLE ASSAULT,55.0,M,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,6TH                          ST,SAN PEDRO,02
Central,BATTERY - SIMPLE ASSAULT,47.0,M,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,6TH,SAN JULIAN,02
Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",46.0,F,OFFICE BUILDING/OFFICE,,Invest Cont,500    MAPLE                        AV,,02
Central,BATTERY - SIMPLE ASSAULT,55.0,M,PARKING UNDERGROUND/BUILDING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,700 S  SPRING                       ST,,02
Central,THEFT PLAIN - PETTY ($950 & UNDER),49.0,M,OTHER BUSINESS,,Invest Cont,1400 S  MAIN                         ST,,02
Central,LEWD CONDUCT,24.0,F,LIBRARY,,Invest Cont,600 W  5TH                          ST,,02
Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),23.0,F,OTHER BUSINESS,,Invest Cont,100 E  7TH                          ST,,02
Central,BURGLARY FROM VEHICLE,40.0,M,STREET,,Invest Cont,7TH,TOWNE,02
Central,OTHER MISCELLANEOUS CRIME,70.0,M,JEWELRY STORE,,Invest Cont,600 S  HILL                         ST,,02
Central,VEHICLE - STOLEN,,,STREET,,Invest Cont,1000    ALPINE                       ST,,02
Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),51.0,M,OTHER PREMISE,,Adult Arrest,400 E  6TH                          ST,,02
Central,BATTERY - SIMPLE ASSAULT,25.0,M,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,500 S  SPRING                       ST,,02
Central,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),29.0,M,PARKING LOT,,Invest Cont,100 W  2ND                          ST,,02
Central,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,,STREET,,Invest Cont,1200 N  MAIN                         ST,,02
Central,TRESPASSING,20.0,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Invest Cont,500 N  FIGUEROA                     ST,,02
