AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Premis Desc,Weapon Desc,Status Desc,LOCATION,Cross Street,Month
Central,INTIMATE PARTNER - SIMPLE ASSAULT,25.0,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,600 S  MAIN                         ST,,02
Central,INTIMATE PARTNER - SIMPLE ASSAULT,35.0,F,SINGLE FAMILY DWELLING,,Invest Cont,800 S  SPRING                       ST,,02
Central,BURGLARY,20.0,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Invest Cont,500 N  FIGUEROA                     ST,,02
Central,INTIMATE PARTNER - AGGRAVATED ASSAULT,23.0,F,PARKING LOT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,600 E  8TH                          ST,,02
Central,OTHER MISCELLANEOUS CRIME,,M,STREET,,Adult Arrest,W  7TH                          ST,S  SPRING                       ST,02
Central,BATTERY - SIMPLE ASSAULT,20.0,M,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,300 W  2ND                          ST,,02
Central,INTIMATE PARTNER - SIMPLE ASSAULT,25.0,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,1300 S  GRAND                        AV,,03
Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),40.0,M,OTHER BUSINESS,,Invest Cont,800 S  GRAND                        AV,,03
Central,ROBBERY,33.0,M,STREET,SIMULATED GUN,Invest Cont,GRAND,PICO,08
Central,INTIMATE PARTNER - SIMPLE ASSAULT,44.0,F,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,Adult Arrest,300 S  LOS ANGELES                  ST,,02
Central,ARSON,,M,STREET,,Invest Cont,5TH,SAN PEDRO                    ST,03
Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),26.0,M,OTHER BUSINESS,,Invest Cont,400 S  HILL                         ST,,03
Central,"RAPE, FORCIBLE",28.0,F,HOTEL,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,400 S  FIGUEROA                     ST,,03
Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),44.0,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Invest Cont,1300 N  BROADWAY,,03
Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),26.0,M,"VEHICLE, PASSENGER/TRUCK",,Adult Other,1100 S  GRAND                        AV,,03
